model,feature,train_languages,test_languages,accuracy,macro_f1,chance,n_train,n_test
BAAI/bge-m3,source_only,"es,fr,de,ru,zh,ar",en,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
BAAI/bge-m3,ab_endpoint_only,"es,fr,de,ru,zh,ar",en,0.9722222222222222,0.9718034109486418,0.16666666666666666,3456,576
BAAI/bge-m3,ba_endpoint_only,"es,fr,de,ru,zh,ar",en,0.9826388888888888,0.9825916657599826,0.16666666666666666,3456,576
BAAI/bge-m3,ab_delta_only,"es,fr,de,ru,zh,ar",en,0.9982638888888888,0.9982638417925833,0.16666666666666666,3456,576
BAAI/bge-m3,ba_delta_only,"es,fr,de,ru,zh,ar",en,1.0,1.0,0.16666666666666666,3456,576
BAAI/bge-m3,commutator_delta,"es,fr,de,ru,zh,ar",en,0.8211805555555556,0.7972498744122353,0.16666666666666666,3456,576
BAAI/bge-m3,source_only,"en,fr,de,ru,zh,ar",es,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
BAAI/bge-m3,ab_endpoint_only,"en,fr,de,ru,zh,ar",es,0.9635416666666666,0.9634485835219722,0.16666666666666666,3456,576
BAAI/bge-m3,ba_endpoint_only,"en,fr,de,ru,zh,ar",es,0.9513888888888888,0.9497793840044036,0.16666666666666666,3456,576
BAAI/bge-m3,ab_delta_only,"en,fr,de,ru,zh,ar",es,0.9600694444444444,0.960752106035125,0.16666666666666666,3456,576
BAAI/bge-m3,ba_delta_only,"en,fr,de,ru,zh,ar",es,0.9618055555555556,0.9616769604691154,0.16666666666666666,3456,576
BAAI/bge-m3,commutator_delta,"en,fr,de,ru,zh,ar",es,0.9131944444444444,0.9102789081040661,0.16666666666666666,3456,576
BAAI/bge-m3,source_only,"en,es,de,ru,zh,ar",fr,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
BAAI/bge-m3,ab_endpoint_only,"en,es,de,ru,zh,ar",fr,0.9809027777777778,0.9808995275806635,0.16666666666666666,3456,576
BAAI/bge-m3,ba_endpoint_only,"en,es,de,ru,zh,ar",fr,1.0,1.0,0.16666666666666666,3456,576
BAAI/bge-m3,ab_delta_only,"en,es,de,ru,zh,ar",fr,0.9826388888888888,0.9826341181931492,0.16666666666666666,3456,576
BAAI/bge-m3,ba_delta_only,"en,es,de,ru,zh,ar",fr,0.9982638888888888,0.9982638417925833,0.16666666666666666,3456,576
BAAI/bge-m3,commutator_delta,"en,es,de,ru,zh,ar",fr,0.9809027777777778,0.9807910289435325,0.16666666666666666,3456,576
BAAI/bge-m3,source_only,"en,es,fr,ru,zh,ar",de,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
BAAI/bge-m3,ab_endpoint_only,"en,es,fr,ru,zh,ar",de,0.9913194444444444,0.9913370142795842,0.16666666666666666,3456,576
BAAI/bge-m3,ba_endpoint_only,"en,es,fr,ru,zh,ar",de,0.9496527777777778,0.9493378723100085,0.16666666666666666,3456,576
BAAI/bge-m3,ab_delta_only,"en,es,fr,ru,zh,ar",de,0.9895833333333334,0.9895731508634734,0.16666666666666666,3456,576
BAAI/bge-m3,ba_delta_only,"en,es,fr,ru,zh,ar",de,0.9444444444444444,0.942857142857143,0.16666666666666666,3456,576
BAAI/bge-m3,commutator_delta,"en,es,fr,ru,zh,ar",de,0.9861111111111112,0.9860907504017736,0.16666666666666666,3456,576
BAAI/bge-m3,source_only,"en,es,fr,de,zh,ar",ru,0.16666666666666666,0.047619047619047616,0.16666666666666666,3456,576
BAAI/bge-m3,ab_endpoint_only,"en,es,fr,de,zh,ar",ru,0.6371527777777778,0.6055631518123157,0.16666666666666666,3456,576
